UART,Time,Rx,Rx Err
251,78.9519ms,0x00,
252,78.9519ms,,
253,79.0387ms,0x02,
254,79.0387ms,,
255,79.1255ms,0xAC,
256,79.1255ms,,
257,79.2122ms,0x03,
258,79.2122ms,,
259,79.2990ms,0xAC,
260,79.2990ms,,
261,79.3858ms,0x03,
262,79.3858ms,,
263,79.4726ms,0xAC,
264,79.4726ms,,
265,79.5594ms,0x03,
266,79.5594ms,,
267,79.6462ms,0xAC,
268,79.6462ms,,
269,79.7330ms,0x03,
270,79.7330ms,,
271,79.8198ms,0xAC,
272,79.8198ms,,
273,79.9066ms,0x03,
274,79.9066ms,,
275,79.9933ms,0xAC,
276,79.9933ms,,
277,80.0801ms,0x03,
278,80.0801ms,,
279,80.1669ms,0xAC,
280,80.1669ms,,
281,80.2537ms,0x03,
282,80.2537ms,,
283,80.3405ms,0xAC,
284,80.3405ms,,
285,80.4273ms,0x03,
286,80.4273ms,,
287,80.5141ms,0x45,
288,80.5141ms,,
289,80.6009ms,0x8A,
290,80.6009ms,,
291,88.4955ms,0x55,
292,88.4955ms,,
293,88.5823ms,0x1A,
294,88.5823ms,,
295,88.6691ms,0x00,
296,88.6691ms,,
297,88.7559ms,0xD0,
298,88.7559ms,,
299,88.8426ms,0xA0,
300,88.8426ms,,
301,88.9294ms,0x00,
302,88.9294ms,,
303,89.0162ms,0x00,
304,89.0162ms,,
305,89.1030ms,0x03,
306,89.1030ms,,
307,89.1898ms,0xAC,
308,89.1898ms,,
309,89.2766ms,0x03,
310,89.2766ms,,
311,89.3634ms,0xAC,
312,89.3634ms,,
313,89.4502ms,0x03,
314,89.4502ms,,
315,89.5370ms,0xAC,
316,89.5370ms,,
317,89.6237ms,0x03,
318,89.6237ms,,
319,89.7105ms,0xAC,
320,89.7105ms,,
321,89.7973ms,0x03,
322,89.7973ms,,
323,89.8841ms,0xAC,
324,89.8841ms,,
325,89.9709ms,0x03,
326,89.9709ms,,
327,90.0577ms,0xAC,
328,90.0577ms,,
329,90.1445ms,0x03,
330,90.1445ms,,
331,90.2313ms,0xAC,
332,90.2313ms,,
333,90.3180ms,0x03,
334,90.3180ms,,
335,90.4048ms,0xAC,
336,90.4048ms,,
337,90.4916ms,0x03,
338,90.4916ms,,
339,90.5784ms,0x4A,
340,90.5784ms,,
341,90.6652ms,0x9A,
342,90.6652ms,,
343,98.4337ms,0x55,
344,98.4337ms,,
345,98.5205ms,0x1A,
346,98.5205ms,,
347,98.6073ms,0x00,
348,98.6073ms,,
349,98.6941ms,0xD0,
350,98.6941ms,,
351,98.7809ms,0xA0,
352,98.7809ms,,
353,98.8677ms,0x00,
354,98.8677ms,,
355,98.9545ms,0x00,
356,98.9545ms,,
357,99.0413ms,0x04,
358,99.0413ms,,
359,99.1281ms,0xAC,
360,99.1281ms,,
361,99.2148ms,0x03,
362,99.2148ms,,
363,99.3016ms,0xAC,
364,99.3016ms,,
365,99.3884ms,0x03,
366,99.3884ms,,
367,99.4752ms,0xAC,
368,99.4752ms,,
369,99.5620ms,0x03,
370,99.5620ms,,
371,99.6488ms,0xAC,
372,99.6488ms,,
373,99.7356ms,0x03,
374,99.7356ms,,
375,99.8224ms,0xAC,
376,99.8224ms,,
377,99.9092ms,0x03,
378,99.9092ms,,
379,99.9959ms,0xAC,
380,99.9959ms,,
381,100.083ms,0x03,
382,100.083ms,,
383,100.170ms,0xAC,
384,100.170ms,,
385,100.256ms,0x03,
386,100.256ms,,
387,100.343ms,0xAC,
388,100.343ms,,
389,100.430ms,0x03,
390,100.430ms,,
391,100.517ms,0x67,
392,100.517ms,,
393,100.603ms,0xEA,
394,100.603ms,,
395,108.481ms,0x55,
396,108.481ms,,
397,108.568ms,0x1A,
398,108.568ms,,
399,108.655ms,0x00,
400,108.655ms,,
401,108.742ms,0xD0,
402,108.742ms,,
403,108.829ms,0xA0,
404,108.829ms,,
405,108.915ms,0x00,
406,108.915ms,,
407,109.002ms,0x00,
408,109.002ms,,
409,109.089ms,0x05,
410,109.089ms,,
411,109.176ms,0xAC,
412,109.176ms,,
413,109.263ms,0x03,
414,109.263ms,,
415,109.349ms,0xAC,
416,109.349ms,,
417,109.436ms,0x03,
418,109.436ms,,
419,109.523ms,0xAC,
420,109.523ms,,
421,109.610ms,0x03,
422,109.610ms,,
423,109.697ms,0xAC,
424,109.697ms,,
425,109.783ms,0x03,
426,109.783ms,,
427,109.870ms,0xAC,
428,109.870ms,,
429,109.957ms,0x03,
430,109.957ms,,
431,110.044ms,0xAC,
432,110.044ms,,
433,110.130ms,0x03,
434,110.130ms,,
435,110.217ms,0xAC,
436,110.217ms,,
437,110.304ms,0x03,
438,110.304ms,,
439,110.391ms,0xAC,
440,110.391ms,,
441,110.478ms,0x03,
442,110.478ms,,
443,110.564ms,0x68,
444,110.564ms,,
445,110.651ms,0xFA,
446,110.651ms,,
447,118.444ms,0x55,
448,118.444ms,,
449,118.531ms,0x1A,
450,118.531ms,,
451,118.618ms,0x00,
452,118.618ms,,
453,118.705ms,0xD0,
454,118.705ms,,
455,118.791ms,0xA0,
456,118.791ms,,
457,118.878ms,0x00,
458,118.878ms,,
459,118.965ms,0x00,
460,118.965ms,,
461,119.052ms,0x06,
462,119.052ms,,
463,119.138ms,0xAC,
464,119.138ms,,
465,119.225ms,0x03,
466,119.225ms,,
467,119.312ms,0xAC,
468,119.312ms,,
469,119.399ms,0x03,
470,119.399ms,,
471,119.486ms,0xAC,
472,119.486ms,,
473,119.572ms,0x03,
474,119.572ms,,
475,119.659ms,0xAC,
476,119.659ms,,
477,119.746ms,0x03,
478,119.746ms,,
479,119.833ms,0xAC,
480,119.833ms,,
